fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
35;0,0879;0,0879;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,5000;4,9291;0,1000;0,1000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0400;0,6240;1,0000;0,2710
36;0,0096;0,0096;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;3,0168;0,3000;0,0000;0,0000;0,0000;0,5000;0,0000;2,0000;0,0320;0,6190;2,0000;0,3350
37;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;1,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,9000;0,0000;2,0000;0,0000;0,6010;2,0000;0,3010
38;0,0243;0,0243;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;1,7008;0,4000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0000;0,6240;0,0000;0,3060
39;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;1,1288;0,4000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0160;0,6200;0,0000;0,3030
40;0,4295;0,4295;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;9,9689;0,1000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0000;0,1110;0,6030;0,0000;0,3680
41;0,0845;0,0845;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;10,2793;0,3000;0,0000;0,0000;0,0000;0,1000;0,0000;3,0000;0,3830;0,5850;3,0000;0,4530
42;0,1380;0,1380;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;5,2306;0,4000;0,0000;0,0000;0,0000;0,6000;0,0000;3,0000;0,1260;0,5730;3,0000;0,4150
43;0,0902;0,0902;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;1,0348;0,1000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0080;0,6590;0,0000;0,2840
44;0,4975;0,4975;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;1,7364;0,3000;0,3000;0,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,6210;0,0000;0,2600
